"ProcessName","Path","Id"
"csrss",,"424"
"csrss",,"532"
"ctfmon","C:\Windows\system32\ctfmon.exe","3708"
"dllhost","C:\Windows\system32\dllhost.exe","3264"
"dllhost","C:\Windows\system32\DllHost.exe","4752"
"dwm","C:\Windows\system32\dwm.exe","332"
"explorer","C:\Windows\Explorer.EXE","3260"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","804"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","812"
"GoogleCrashHandler","C:\Program Files (x86)\Google\Update\1.3.36.312\GoogleCrashHandler.exe","1660"
"GoogleCrashHandler64","C:\Program Files (x86)\Google\Update\1.3.36.312\GoogleCrashHandler64.exe","1988"
"Idle",,"0"
"lsass","C:\Windows\system32\lsass.exe","668"
"Memory Compression",,"1596"
"msdtc","C:\Windows\System32\msdtc.exe","3896"
"MsMpEng",,"2796"
"NisSrv",,"4188"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","5960"
"Registry",,"88"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","1628"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","2032"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","4652"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","1592"
"SecurityHealthService",,"4532"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","4844"
"services",,"660"
"SgrmBroker",,"4960"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","1620"
"sihost","C:\Windows\system32\sihost.exe","3328"
"smss",,"292"
"spoolsv","C:\Windows\System32\spoolsv.exe","2124"
"svchost","C:\Windows\system32\svchost.exe","780"
"svchost","C:\Windows\system32\svchost.exe","800"
"svchost","C:\Windows\system32\svchost.exe","820"
"svchost","C:\Windows\system32\svchost.exe","920"
"svchost","C:\Windows\system32\svchost.exe","964"
"svchost","C:\Windows\System32\svchost.exe","1008"
"svchost","C:\Windows\System32\svchost.exe","1040"
"svchost","C:\Windows\system32\svchost.exe","1060"
"svchost","C:\Windows\system32\svchost.exe","1180"
"svchost","C:\Windows\System32\svchost.exe","1220"
"svchost","C:\Windows\system32\svchost.exe","1348"
"svchost","C:\Windows\system32\svchost.exe","1360"
"svchost","C:\Windows\system32\svchost.exe","1372"
"svchost","C:\Windows\System32\svchost.exe","1408"
"svchost","C:\Windows\system32\svchost.exe","1492"
"svchost","C:\Windows\System32\svchost.exe","1512"
"svchost","C:\Windows\system32\svchost.exe","1636"
"svchost","C:\Windows\system32\svchost.exe","1644"
"svchost","C:\Windows\system32\svchost.exe","1652"
"svchost","C:\Windows\System32\svchost.exe","1756"
"svchost","C:\Windows\System32\svchost.exe","1812"
"svchost","C:\Windows\System32\svchost.exe","1852"
"svchost","C:\Windows\system32\svchost.exe","1940"
"svchost","C:\Windows\system32\svchost.exe","1956"
"svchost","C:\Windows\system32\svchost.exe","2000"
"svchost","C:\Windows\System32\svchost.exe","2192"
"svchost","C:\Windows\system32\svchost.exe","2200"
"svchost","C:\Windows\System32\svchost.exe","2236"
"svchost","C:\Windows\system32\svchost.exe","2296"
"svchost","C:\Windows\System32\svchost.exe","2612"
"svchost","C:\Windows\system32\svchost.exe","2620"
"svchost","C:\Windows\System32\svchost.exe","2632"
"svchost","C:\Windows\system32\svchost.exe","2648"
"svchost","C:\Windows\system32\svchost.exe","2704"
"svchost","C:\Windows\system32\svchost.exe","2720"
"svchost","C:\Windows\system32\svchost.exe","2812"
"svchost","C:\Windows\System32\svchost.exe","2900"
"svchost","C:\Windows\System32\svchost.exe","2920"
"svchost",,"2988"
"svchost","C:\Windows\System32\svchost.exe","2996"
"svchost","C:\Windows\system32\svchost.exe","3088"
"svchost","C:\Windows\System32\svchost.exe","3436"
"svchost","C:\Windows\system32\svchost.exe","3508"
"svchost","C:\Windows\system32\svchost.exe","3628"
"svchost","C:\Windows\system32\svchost.exe","3876"
"svchost","C:\Windows\system32\svchost.exe","4360"
"svchost","C:\Windows\system32\svchost.exe","4456"
"svchost","C:\Windows\system32\svchost.exe","4624"
"svchost","C:\Windows\System32\svchost.exe","4628"
"svchost","C:\Windows\system32\svchost.exe","4768"
"svchost","C:\Windows\system32\svchost.exe","4776"
"svchost","C:\Windows\System32\svchost.exe","5232"
"svchost","C:\Windows\system32\svchost.exe","5440"
"svchost","C:\Windows\system32\svchost.exe","5908"
"System",,"4"
"taskhostw","C:\Windows\system32\taskhostw.exe","5028"
"VGAuthService","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","2728"
"vm3dservice","C:\Windows\system32\vm3dservice.exe","2756"
"vm3dservice","C:\Windows\system32\vm3dservice.exe","2928"
"vm3dservice","C:\Windows\system32\vm3dservice.exe","3380"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","300"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","2764"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","3388"
"wininit",,"524"
"winlogon","C:\Windows\system32\winlogon.exe","592"
"WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","3832"
